305.623, 129.514, 4.782,  4.379 False
305.463, 129.519, 4.808,  4.412 False
305.302, 129.523, 4.836,  4.445 False
305.140, 129.529, 4.863,  4.478 False
304.978, 129.534, 4.891,  4.511 False
304.814, 129.541, 4.918,  4.544 False
304.649, 129.547, 4.946,  4.577 False
304.484, 129.554, 4.972,  4.610 False
304.318, 129.560, 5.001,  4.643 False
304.151, 129.568, 5.027,  4.676 False
303.982, 129.575, 5.055,  4.709 False
303.813, 129.583, 5.081,  4.742 False
303.644, 129.590, 5.105,  4.775 False
303.474, 129.599, 5.115,  4.808 False
303.304, 129.606, 5.108,  4.841 False
303.134, 129.615, 5.095,  4.874 False
302.965, 129.623, 5.087,  4.907 False
302.796, 129.632, 5.083,  4.940 False
302.627, 129.640, 5.085,  4.973 False
302.458, 129.650, 5.092,  5.006 False
302.288, 129.659, 5.105,  5.039 False
302.118, 129.668, 5.124,  5.072 False
301.946, 129.678, 5.148,  5.105 False
301.774, 129.688, 5.178,  5.138 False
301.601, 129.698, 5.213,  5.171 False
301.426, 129.708, 5.253,  5.204 False
301.250, 129.719, 5.297,  5.237 False
301.072, 129.730, 5.345,  5.270 False
300.893, 129.741, 5.396,  5.303 False
300.712, 129.753, 5.448,  5.336 False
300.529, 129.764, 5.502,  5.369 False
300.345, 129.776, 5.556,  5.402 False
300.158, 129.787, 5.609,  5.435 False
299.970, 129.800, 5.660,  5.468 False
299.781, 129.812, 5.710,  5.501 False
299.589, 129.825, 5.756,  5.534 False
299.397, 129.837, 5.800,  5.567 False
299.203, 129.850, 5.841,  5.600 False
299.008, 129.863, 5.878,  5.633 False
298.811, 129.877, 5.912,  5.666 False
298.614, 129.890, 5.943,  5.699 False
298.416, 129.904, 5.971,  5.732 False
298.217, 129.917, 5.997,  5.765 False
298.017, 129.931, 6.021,  5.798 False
297.816, 129.945, 6.043,  5.831 False
297.615, 129.960, 6.063,  5.864 False
297.413, 129.974, 6.082,  5.897 False
297.210, 129.988, 6.100,  5.930 False
297.007, 130.002, 6.118,  5.963 False
296.803, 130.017, 6.136,  5.996 False
296.599, 130.031, 6.154,  6.029 False
296.394, 130.046, 6.172,  6.062 False
296.188, 130.060, 6.191,  6.095 False
295.982, 130.075, 6.211,  6.128 False
295.775, 130.089, 6.232,  6.161 False
295.568, 130.104, 6.253,  6.194 False
295.359, 130.119, 6.277,  6.227 False
295.150, 130.134, 6.301,  6.260 False
294.940, 130.149, 6.326,  6.293 False
294.729, 130.164, 6.353,  6.326 False
294.517, 130.179, 6.380,  6.359 False
294.304, 130.194, 6.409,  6.392 False
